year,scheme,category,women_applied,women_funded,men_applied,men_funded,unknown_applied,unknown_funded
2015,Early Career Fellowships,Australian Clinical,44,6,25,5,NA,NA
2015,Early Career Fellowships,Overseas Clinical (Neil Hamilton Fairley),4,2,6,3,NA,NA
2015,Early Career Fellowships,Australian Biomedical (Peter Doherty),96,21,66,15,NA,NA
2015,Early Career Fellowships,Overseas Biomedical (CJ Martin),44,12,25,9,NA,NA
2015,Early Career Fellowships,Australian Public Health,89,16,26,6,NA,NA
2015,Early Career Fellowships,Overseas Public Health (Sidney Sax),4,2,5,1,NA,NA
2015,Early Career Fellowships,Health Professional Research (Part Time),42,9,14,4,NA,NA
2015,Early Career Fellowships,Aboriginal and Torres Strait Islander Health Research,11,0,4,0,NA,NA
2015,Early Career Fellowships,INSERM Exchange Fellowship,1,0,1,0,NA,NA
2015,Early Career Fellowships,Australia-China Exchange,2,0,10,0,NA,NA
2015,Career Development Fellowships,Biomedical,128,18,155,13,NA,NA
2015,Career Development Fellowships,Population Health,55,7,29,4,NA,NA
2015,Career Development Fellowships,Clinical CDF,49,2,32,7,NA,NA
2015,Career Development Fellowships,Industry CDF,5,1,6,1,NA,NA
2015,Career Development Fellowships,Aboriginal and Torres Strait Islander CDF,2,2,0,0,NA,NA
2015,Research Fellowships,Basic Science,45,10,121,27,NA,NA
2015,Research Fellowships,Clinical Medicine and Science,23,5,40,12,NA,NA
2015,Research Fellowships,Health Services Research,7,0,3,0,NA,NA
2015,Research Fellowships,Public Health,29,12,22,3,NA,NA
2015,Practitioner Fellowship,Basic Science,0,0,5,1,NA,NA
2015,Practitioner Fellowship,Clinical Medicine and Science,14,3,27,10,NA,NA
2015,Practitioner Fellowship,Health Services Research,2,0,0,0,NA,NA
2015,Practitioner Fellowship,Public Health,1,0,2,1,NA,NA
2015,Project Grants - New Investigator Grant - All CIs,Basic Science,69,11,98,20,NA,NA
2015,Project Grants - New Investigator Grant - All CIs,Clinical Medicine and Science,33,1,40,6,NA,NA
2015,Project Grants - New Investigator Grant - All CIs,Health Services Research,11,0,8,2,NA,NA
2015,Project Grants - New Investigator Grant - All CIs,Public Health,27,2,18,4,NA,NA
2015,Project Grants - New Investigator Grant - CIA,Basic Science,59,8,80,15,NA,NA
2015,Project Grants - New Investigator Grant - CIA,Clinical Medicine and Science,26,1,29,5,NA,NA
2015,Project Grants - New Investigator Grant - CIA,Health Services Research,8,0,4,1,NA,NA
2015,Project Grants - New Investigator Grant - CIA,Public Health,14,1,10,2,NA,NA
2015,Project Grants - Standard Project Grant - All CIs,Basic Science,1785,217,4152,618,NA,NA
2015,Project Grants - Standard Project Grant - All CIs,Clinical Medicine and Science,1902,256,3499,516,NA,NA
2015,Project Grants - Standard Project Grant - All CIs,Health Services Research,431,32,371,32,NA,NA
2015,Project Grants - Standard Project Grant - All CIs,Public Health,1018,149,1053,164,NA,NA
2015,Project Grants - Standard Project Grant - CIA,Basic Science,606,75,1301,196,NA,NA
2015,Project Grants - Standard Project Grant - CIA,Clinical Medicine and Science,402,42,737,112,NA,NA
2015,Project Grants - Standard Project Grant - CIA,Health Services Research,71,5,60,5,NA,NA
2015,Project Grants - Standard Project Grant - CIA,Public Health,183,26,168,22,NA,NA
