year,scheme,category,women_applied,women_funded,men_applied,men_funded,unknown_applied,unknown_funded
2013,Early Career Fellowships,Australian Clinical,36,7,19,4,NA,NA
2013,Early Career Fellowships,Overseas Clinical (Neil Hamilton Fairley),7,NA,10,4,NA,NA
2013,Early Career Fellowships,Australian Biomedical (Peter Doherty),102,19,90,23,NA,NA
2013,Early Career Fellowships,Overseas Biomedical (CJ Martin),39,7,26,13,NA,NA
2013,Early Career Fellowships,Australian Public Health,63,15,22,4,NA,NA
2013,Early Career Fellowships,Overseas Public Health (Sidney Sax),13,4,4,2,1,0
2013,Early Career Fellowships,Australian Research Training (part time),10,3,3,NA,NA,NA
2013,Early Career Fellowships,Health Professional Research (part time),24,4,22,10,NA,NA
2013,Early Career Fellowships,Aboriginal and Torres Strait Islander Health Research,10,5,3,2,NA,NA
2013,Early Career Fellowships,Primary Health Care,7,2,1,NA,NA,NA
2013,Early Career Fellowships,INSERM Exchange Fellowship,2,NA,1,NA,NA,NA
2013,Early Career Fellowships,Australia-China Exchange,4,NA,4,NA,NA,NA
2013,Career Development Fellowships,Biomedical,70,14,77,11,NA,NA
2013,Career Development Fellowships,Population Health,56,14,26,1,NA,NA
2013,Career Development Fellowships,Clinical,25,7,36,10,NA,NA
2013,Career Development Fellowships,Industry,4,2,2,NA,NA,NA
2013,Career Development Fellowships,Aboriginal and Torres Strait Islander,1,NA,NA,NA,NA,NA
2013,Career Development Fellowships,Part-time Employment,11,1,NA,NA,NA,NA
2013,Research Fellowships,Basic Science,32,9,96,34,NA,NA
2013,Research Fellowships,Clinical Medicine and Science,19,5,36,12,NA,NA
2013,Research Fellowships,Health Services Research,4,1,7,2,NA,NA
2013,Research Fellowships,Public Health,26,9,21,6,NA,NA
2013,Practitioner Fellowships,Basic Science,NA,NA,3,NA,NA,NA
2013,Practitioner Fellowships,Clinical Medicine and Science,13,4,35,11,NA,NA
2013,Practitioner Fellowships,Health Services Research,1,NA,1,NA,NA,NA
2013,Practitioner Fellowships,Public Health,2,NA,2,1,NA,NA
2013,New Investigator Project Grants - All CIs,Basic Science,75,14,98,19,NA,NA
2013,New Investigator Project Grants - All CIs,Clinical Medicine and Science,59,3,63,7,NA,NA
2013,New Investigator Project Grants - All CIs,Health Services Research,8,NA,2,NA,NA,NA
2013,New Investigator Project Grants - All CIs,Public Health,22,2,10,NA,NA,NA
2013,New Investigator Project Grants - CIA only,Basic Science,71,15,90,19,NA,NA
2013,New Investigator Project Grants - CIA only,Clinical Medicine and Science,39,3,54,7,NA,NA
2013,New Investigator Project Grants - CIA only,Health Services Research,6,NA,1,NA,NA,NA
2013,New Investigator Project Grants - CIA only,Public Health,15,1,7,NA,NA,NA
2013,Standard Project Grants - All CIs,Basic Science,1540,247,3504,696,NA,NA
2013,Standard Project Grants - All CIs,Clinical Medicine and Science,1681,254,3196,571,NA,NA
2013,Standard Project Grants - All CIs,Health Services Research,413,74,362,53,NA,NA
2013,Standard Project Grants - All CIs,Public Health,926,149,912,129,NA,NA
2013,Standard Project Grants - CIA only,Basic Science,583,97,1280,256,NA,NA
2013,Standard Project Grants - CIA only,Clinical Medicine and Science,406,51,786,137,NA,NA
2013,Standard Project Grants - CIA only,Health Services Research,82,13,56,7,NA,NA
2013,Standard Project Grants - CIA only,Public Health,193,22,152,24,NA,NA
2013,European Union,,4,3,10,9,0,0
