year,scheme,category,gender,applied,funded
2013,Early Career Fellowships,Basic Science,women ,1,0
2013,Early Career Fellowships,Basic Science,men ,0,0
2013,Early Career Fellowships,Clinical Medicine and Science,women ,24,7
2013,Early Career Fellowships,Clinical Medicine and Science,men ,23,9
2013,Early Career Fellowships,Health Services Research,women ,3,0
2013,Early Career Fellowships,Health Services Research,men ,0,0
2013,Early Career Fellowships,Public Health,women ,5,0
2013,Early Career Fellowships,Public Health,men ,2,1
2013,Career Development Fellowships,Basic Science,women ,4,1
2013,Career Development Fellowships,Basic Science,men ,0,0
2013,Career Development Fellowships,Clinical Medicine and Science,women ,7,0
2013,Career Development Fellowships,Clinical Medicine and Science,men ,13,5
2013,Career Development Fellowships,Health Services Research,women ,1,1
2013,Career Development Fellowships,Health Services Research,men ,0,0
2013,Career Development Fellowships,Public Health,women ,4,1
2013,Career Development Fellowships,Public Health,men ,5,1
2013,Research Fellowships,Basic Science,women ,0,0
2013,Research Fellowships,Basic Science,men ,0,0
2013,Research Fellowships,Clinical Medicine and Science,women ,0,0
2013,Research Fellowships,Clinical Medicine and Science,men ,1,1
2013,Research Fellowships,Health Services Research,women ,1,0
2013,Research Fellowships,Health Services Research,men ,0,0
2013,Research Fellowships,Public Health,women ,0,0
2013,Research Fellowships,Public Health,men ,0,0
