year,scheme,level,gender,applied,funded
2014,Practitioner Fellows,PF2,women ,7,4
2014,Practitioner Fellows,PF2,men ,11,5
2014,Practitioner Fellows,PF1,women ,9,3
2014,Practitioner Fellows,PF1,men ,30,5
2014,Research Fellows,SPRF,women ,4,2
2014,Research Fellows,SPRF,men ,31,21
2014,Research Fellows,PRF,women ,14,5
2014,Research Fellows,PRF,men ,33,11
2014,Research Fellows,SRF,women ,57,10
2014,Research Fellows,SRF,men ,107,25
2014,Career Development Fellows,CDF2,women ,74,8
2014,Career Development Fellows,CDF2,men ,101,15
2014,Career Development Fellows,CDF1,women ,161,16
2014,Career Development Fellows,CDF1,men ,95,19
